Time	Channel A	Channel B
(us)	(V)	(mV)

-2.01879902	-0.00793481	-7.93481200
-1.99879902	-0.00793481	-7.93481200
-1.97879902	-0.00793481	-7.93481200
-1.95879902	-0.00793481	-11.90222000
-1.93879902	-0.00793481	-11.90222000
-1.91879902	-0.00793481	-7.93481200
-1.89879902	-0.01586962	-7.93481200
-1.87879902	-0.00793481	-7.93481200
-1.85879902	-0.00793481	-7.93481200
-1.83879902	-0.00793481	-7.93481200
-1.81879902	-0.00793481	-11.90222000
-1.79879902	-0.00793481	-11.90222000
-1.77879902	-0.01586962	-7.93481200
-1.75879902	-0.00793481	-7.93481200
-1.73879902	-0.00793481	-7.93481200
-1.71879902	-0.01586962	-7.93481200
-1.69879903	-0.00793481	-7.93481200
-1.67879903	-0.00793481	-7.93481200
-1.65879903	-0.00793481	-11.90222000
-1.63879903	-0.00793481	-7.93481200
-1.61879903	-0.01586962	-7.93481200
-1.59879903	-0.00793481	-11.90222000
-1.57879903	-0.00793481	-11.90222000
-1.55879903	-0.00793481	-11.90222000
-1.53879903	-0.00793481	-7.93481200
-1.51879903	-0.00793481	-11.90222000
-1.49879903	-0.00793481	-11.90222000
-1.47879903	-0.00793481	-7.93481200
-1.45879903	-0.00793481	-11.90222000
-1.43879903	-0.01586962	-11.90222000
-1.41879903	-0.00793481	-11.90222000
-1.39879903	-0.00793481	-11.90222000
-1.37879903	-0.00793481	-11.90222000
-1.35879903	-0.00793481	-11.90222000
-1.33879903	-0.00793481	-11.90222000
-1.31879903	-0.00793481	-11.90222000
-1.29879903	-0.00793481	-11.90222000
-1.27879903	-0.00793481	-11.90222000
-1.25879903	-0.00793481	-11.90222000
-1.23879903	-0.00793481	-11.90222000
-1.21879903	-0.00793481	-11.90222000
-1.19879903	-0.01586962	-11.90222000
-1.17879903	-0.01586962	-15.86962000
-1.15879903	-0.00793481	-15.86962000
-1.13879903	-0.00793481	-11.90222000
-1.11879903	-0.01586962	-11.90222000
-1.09879903	-0.00793481	-11.90222000
-1.07879903	-0.00793481	-11.90222000
-1.05879903	-0.00793481	-11.90222000
-1.03879903	-0.00793481	-11.90222000
-1.01879903	-0.01586962	-7.93481200
-0.99879903	-0.00793481	-7.93481200
-0.97879903	-0.00793481	-7.93481200
-0.95879903	-0.00793481	-7.93481200
-0.93879903	-0.00793481	-7.93481200
-0.91879903	-0.00793481	-7.93481200
-0.89879903	-0.00793481	-7.93481200
-0.87879903	-0.00793481	-7.93481200
-0.85879903	-0.00793481	-7.93481200
-0.83879903	-0.00793481	-7.93481200
-0.81879903	-0.00793481	-7.93481200
-0.79879903	-0.00793481	-11.90222000
-0.77879903	-0.00793481	-11.90222000
-0.75879903	-0.00793481	-11.90222000
-0.73879903	-0.00793481	-11.90222000
-0.71879903	-0.00793481	-7.93481200
-0.69879903	-0.00793481	-7.93481200
-0.67879903	-0.00793481	-7.93481200
-0.65879903	-0.00793481	-7.93481200
-0.63879903	-0.00793481	-7.93481200
-0.61879903	-0.00793481	-11.90222000
-0.59879903	-0.00793481	-11.90222000
-0.57879903	-0.01586962	-11.90222000
-0.55879903	-0.01586962	-11.90222000
-0.53879903	-0.00793481	-15.86962000
-0.51879903	-0.01586962	-15.86962000
-0.49879903	-0.01586962	-15.86962000
-0.47879903	-0.00793481	-15.86962000
-0.45879903	-0.00793481	-11.90222000
-0.43879903	-0.00793481	-11.90222000
-0.41879903	-0.01586962	-11.90222000
-0.39879903	-0.01586962	-11.90222000
-0.37879903	-0.00793481	-11.90222000
-0.35879903	-0.00793481	-11.90222000
-0.33879903	-0.00793481	-11.90222000
-0.31879903	-0.00793481	-7.93481200
-0.29879903	-0.00793481	-11.90222000
-0.27879903	-0.00793481	-11.90222000
-0.25879903	-0.00793481	-11.90222000
-0.23879903	-0.00793481	-11.90222000
-0.21879903	-0.01586962	-11.90222000
-0.19879903	-0.00793481	-11.90222000
-0.17879903	-0.00793481	-11.90222000
-0.15879903	-0.00793481	-11.90222000
-0.13879903	-0.00793481	-11.90222000
-0.11879903	-0.00793481	-15.86962000
-0.09879903	0.02380444	-19.83703000
-0.07879903	0.05554369	-19.83703000
-0.05879903	0.08728294	-19.83703000
-0.03879904	0.12695700	-19.83703000
-0.01879904	0.15872680	-15.86962000
0.00120096	0.19840080	-11.90222000
0.02120096	0.23807490	-11.90222000
0.04120096	0.26981410	-7.93481200
0.06120096	0.30158390	-3.96740600
0.08120096	0.32538830	-3.96740600
0.10120096	0.34919280	-3.96740600
0.12120096	0.36506240	-7.93481200
0.14120096	0.37299720	-7.93481200
0.16120096	0.38093200	-7.93481200
0.18120096	0.38093200	-3.96740600
0.20120096	0.3729
