Time	Channel A	Channel B
(us)	(V)	(mV)

-2.00999898	-0.00793481	-1.58696200
-1.98999898	-0.00793481	-4.76088700
-1.96999898	-0.00793481	-4.76088700
-1.94999898	-0.00793481	-4.76088700
-1.92999898	-0.00793481	-4.76088700
-1.90999898	-0.00793481	-4.76088700
-1.88999898	-0.00793481	-4.76088700
-1.86999898	-0.00793481	-3.17392500
-1.84999898	-0.00793481	-3.17392500
-1.82999898	-0.00793481	-3.17392500
-1.80999898	-0.00793481	-3.17392500
-1.78999898	-0.00793481	-3.17392500
-1.76999898	-0.00793481	-4.76088700
-1.74999898	-0.00793481	-4.76088700
-1.72999898	-0.00793481	-1.58696200
-1.70999898	-0.00793481	-3.17392500
-1.68999898	-0.00793481	-3.17392500
-1.66999898	-0.00793481	-3.17392500
-1.64999898	-0.00793481	-4.76088700
-1.62999898	-0.00793481	-4.76088700
-1.60999898	-0.00793481	-4.76088700
-1.58999898	-0.00793481	-4.76088700
-1.56999898	-0.00793481	-3.17392500
-1.54999898	-0.00793481	-1.58696200
-1.52999898	-0.00793481	-1.58696200
-1.50999898	-0.00793481	-1.58696200
-1.48999898	-0.00793481	-1.58696200
-1.46999898	-0.00793481	-1.58696200
-1.44999898	-0.00793481	0.00000000
-1.42999898	-0.00793481	0.00000000
-1.40999898	-0.00793481	0.00000000
-1.38999898	-0.00793481	-1.58696200
-1.36999898	-0.00793481	-3.17392500
-1.34999898	-0.00793481	-3.17392500
-1.32999898	-0.00793481	-3.17392500
-1.30999898	-0.00793481	-3.17392500
-1.28999898	-0.00793481	-3.17392500
-1.26999898	-0.00793481	-4.76088700
-1.24999898	-0.00793481	-3.17392500
-1.22999898	-0.00793481	-4.76088700
-1.20999898	-0.00793481	-3.17392500
-1.18999898	0.00000000	-3.17392500
-1.16999898	0.00000000	-3.17392500
-1.14999898	-0.00793481	-1.58696200
-1.12999899	-0.00793481	-1.58696200
-1.10999899	-0.00793481	-1.58696200
-1.08999899	-0.00793481	-3.17392500
-1.06999899	-0.00793481	-3.17392500
-1.04999899	-0.00793481	-4.76088700
-1.02999899	-0.00793481	-4.76088700
-1.00999899	0.00000000	-3.17392500
-0.98999899	-0.00793481	-3.17392500
-0.96999899	-0.00793481	-1.58696200
-0.94999899	-0.00793481	-3.17392500
-0.92999899	-0.00793481	-1.58696200
-0.90999899	0.00000000	-1.58696200
-0.88999899	0.00000000	-1.58696200
-0.86999899	-0.00793481	-3.17392500
-0.84999899	-0.00793481	-3.17392500
-0.82999899	-0.00793481	-3.17392500
-0.80999899	-0.00793481	-3.17392500
-0.78999899	0.00000000	-3.17392500
-0.76999899	-0.00793481	-4.76088700
-0.74999899	-0.00793481	-4.76088700
-0.72999899	-0.00793481	-4.76088700
-0.70999899	-0.00793481	-3.17392500
-0.68999899	-0.00793481	-3.17392500
-0.66999899	0.00000000	-1.58696200
-0.64999899	0.00000000	-3.17392500
-0.62999899	-0.00793481	-3.17392500
-0.60999899	-0.00793481	-1.58696200
