Time	Channel A	Channel B
(us)	(V)	(mV)

-2.01949797	-0.00793481	-7.93481200
-1.99949797	-0.00793481	-7.93481200
-1.97949797	-0.00793481	-7.93481200
-1.95949797	-0.00793481	-9.52177400
-1.93949797	-0.00793481	-9.52177400
-1.91949797	-0.00793481	-7.93481200
-1.89949797	-0.00793481	-6.34785000
-1.87949797	-0.00793481	-4.76088700
-1.85949797	-0.00793481	-3.17392500
-1.83949797	-0.00793481	-6.34785000
-1.81949797	-0.00793481	-4.76088700
-1.79949797	-0.00793481	-6.34785000
-1.77949797	-0.00793481	-6.34785000
-1.75949797	-0.00793481	-4.76088700
-1.73949797	-0.00793481	-4.76088700
-1.71949797	-0.00793481	-6.34785000
-1.69949797	-0.00793481	-6.34785000
-1.67949797	-0.00793481	-7.93481200
-1.65949797	-0.00793481	-7.93481200
-1.63949797	-0.00793481	-7.93481200
-1.61949797	-0.00793481	-9.52177400
-1.59949797	-0.00793481	-9.52177400
-1.57949797	-0.00793481	-7.93481200
-1.55949797	-0.00793481	-9.52177400
-1.53949797	-0.00793481	-7.93481200
-1.51949797	-0.00793481	-6.34785000
-1.49949797	-0.00793481	-7.93481200
-1.47949797	-0.00793481	-6.34785000
-1.45949797	-0.00793481	-6.34785000
-1.43949797	-0.00793481	-6.34785000
-1.41949797	-0.00793481	-6.34785000
-1.39949797	-0.00793481	-9.52177400
-1.37949797	-0.00793481	-9.52177400
-1.35949797	-0.00793481	-9.52177400
-1.33949797	-0.00793481	-9.52177400
-1.31949797	-0.00793481	-7.93481200
-1.29949797	-0.00793481	-9.52177400
-1.27949797	-0.00793481	-9.52177400
-1.25949797	-0.00793481	-9.52177400
-1.23949797	-0.00793481	-9.52177400
-1.21949797	-0.00793481	-7.93481200
-1.19949797	-0.00793481	-6.34785000
-1.17949797	-0.00793481	-6.34785000
-1.15949797	-0.00793481	-7.93481200
-1.13949798	-0.00793481	-7.93481200
-1.11949798	-0.00793481	-9.52177400
-1.09949798	-0.00793481	-7.93481200
-1.07949798	-0.00793481	-9.52177400
-1.05949798	-0.00793481	-9.52177400
-1.03949798	-0.00793481	-9.52177400
-1.01949798	-0.00793481	-9.52177400
-0.99949798	-0.00793481	-7.93481200
-0.97949798	-0.00793481	-9.52177400
-0.95949798	-0.00793481	-7.93481200
-0.93949798	-0.00793481	-7.93481200
-0.91949798	-0.00793481	-7.93481200
-0.89949798	-0.00793481	-6.34785000
-0.87949798	-0.00793481	-7.93481200
-0.85949798	-0.00793481	-7.93481200
-0.83949798	-0.00793481	-6.34785000
-0.81949798	-0.00793481	-4.76088700
-0.79949798	-0.00793481	-3.17392500
-0.77949798	-0.00793481	-3.17392500
-0.75949798	-0.00793481	-4.76088700
-0.73949798	-0.00793481	-3.17392500
-0.71949798	-0.00793481	-3.17392500
-0.69949798	-0.00793481	-6.34785000
-0.67949798	-0.00793481	-6.34785000
-0.65949798	-0.00793481	-7.93481200
-0.63949798	-0.00793481	-6.34785000
