Time	Channel A	Channel B
(us)	(V)	(mV)

-2.00101908	-0.00793481	-1.58696200
-1.98101908	-0.00793481	-1.58696200
-1.96101908	0.00000000	-1.58696200
-1.94101908	0.00000000	0.00000000
-1.92101908	-0.00793481	-1.58696200
-1.90101908	-0.00793481	-1.58696200
-1.88101908	-0.00793481	-4.76088700
-1.86101908	-0.00793481	-3.17392500
-1.84101908	0.00000000	-3.17392500
-1.82101908	-0.00793481	-1.58696200
-1.80101908	-0.00793481	-1.58696200
-1.78101909	-0.00793481	0.00000000
-1.76101909	-0.00793481	0.00000000
-1.74101909	-0.00793481	0.00000000
-1.72101909	0.00000000	0.00000000
-1.70101909	0.00000000	1.58696200
-1.68101909	0.00000000	0.00000000
-1.66101909	-0.00793481	1.58696200
-1.64101909	-0.00793481	0.00000000
-1.62101909	-0.00793481	0.00000000
-1.60101909	-0.00793481	1.58696200
-1.58101909	0.00000000	1.58696200
-1.56101909	0.00000000	1.58696200
-1.54101909	0.00000000	0.00000000
-1.52101909	-0.00793481	0.00000000
-1.50101909	-0.00793481	-1.58696200
-1.48101909	-0.00793481	-1.58696200
-1.46101909	0.00000000	-1.58696200
-1.44101909	0.00000000	-1.58696200
-1.42101909	0.00000000	0.00000000
-1.40101909	-0.00793481	0.00000000
-1.38101909	-0.00793481	-1.58696200
-1.36101909	0.00000000	-1.58696200
-1.34101909	0.00000000	-1.58696200
-1.32101909	0.00000000	-1.58696200
-1.30101909	0.00000000	0.00000000
-1.28101909	0.00000000	0.00000000
-1.26101909	0.00000000	1.58696200
-1.24101909	-0.00793481	-1.58696200
-1.22101909	0.00000000	-1.58696200
-1.20101909	-0.00793481	-1.58696200
-1.18101909	0.00000000	-1.58696200
-1.16101909	0.00000000	-1.58696200
-1.14101909	-0.00793481	0.00000000
-1.12101909	-0.00793481	-1.58696200
-1.10101909	-0.00793481	-1.58696200
-1.08101909	0.00000000	-3.17392500
-1.06101909	0.00000000	0.00000000
-1.04101909	0.00000000	-1.58696200
-1.02101909	0.00000000	0.00000000
-1.00101909	-0.00793481	0.00000000
-0.98101909	-0.00793481	-1.58696200
-0.96101909	0.00000000	-1.58696200
-0.94101909	0.00000000	-1.58696200
-0.92101909	0.00000000	0.00000000
-0.90101909	-0.00793481	0.00000000
-0.88101909	-0.00793481	1.58696200
-0.86101909	0.00000000	0.00000000
-0.84101909	0.00000000	0.00000000
-0.82101909	0.00000000	0.00000000
-0.80101909	0.00000000	-1.58696200
-0.78101909	-0.00793481	-1.58696200
-0.76101909	-0.00793481	-1.58696200
-0.74101909	0.00000000	0.00000000
-0.72101909	0.00000000	0.00000000
-0.70101909	0.00000000	1.58696200
-0.68101909	0.00000000	0.00000000
-0.66101909	-0.00793481	0.00000000
-0.64101909	-0.00793481	1.58696200
-0.62101909	0.00000000	3.17392500
-0.60101909	0.00000000	1.58696200
-0.58101909	-0.00793481	1.58696200
-0.56101909	0.00000000	1.58696200
-0.54101909	-0.00793481	1.58696200
