Time	Channel A	Channel B
(us)	(V)	(mV)

-2.01100011	-0.00793481	-4.76088700
-1.99100011	-0.00793481	-6.34785000
-1.97100011	-0.00793481	-6.34785000
-1.95100011	-0.00793481	-4.76088700
-1.93100011	-0.00793481	-4.76088700
-1.91100011	-0.00793481	-7.93481200
-1.89100011	-0.00793481	-6.34785000
-1.87100011	-0.00793481	-6.34785000
-1.85100011	-0.00793481	-4.76088700
-1.83100011	-0.00793481	-4.76088700
-1.81100011	-0.00793481	-3.17392500
-1.79100011	-0.00793481	-3.17392500
-1.77100011	-0.00793481	-3.17392500
-1.75100011	-0.00793481	-1.58696200
-1.73100011	-0.00793481	-1.58696200
-1.71100011	-0.00793481	-3.17392500
-1.69100011	-0.00793481	-1.58696200
-1.67100011	-0.00793481	-3.17392500
-1.65100011	-0.00793481	-3.17392500
-1.63100011	-0.00793481	-3.17392500
-1.61100011	-0.00793481	-4.76088700
-1.59100011	-0.00793481	-4.76088700
-1.57100011	-0.00793481	-4.76088700
-1.55100011	-0.00793481	-4.76088700
-1.53100011	-0.00793481	-3.17392500
-1.51100011	-0.00793481	-4.76088700
-1.49100011	-0.00793481	-3.17392500
-1.47100011	-0.00793481	-3.17392500
-1.45100011	-0.00793481	-4.76088700
-1.43100011	-0.00793481	-3.17392500
-1.41100011	-0.00793481	-4.76088700
-1.39100011	-0.00793481	-6.34785000
-1.37100011	-0.00793481	-4.76088700
-1.35100011	-0.00793481	-6.34785000
-1.33100011	-0.00793481	-4.76088700
-1.31100011	-0.00793481	-6.34785000
-1.29100011	-0.00793481	-7.93481200
-1.27100011	-0.00793481	-9.52177400
-1.25100011	-0.00793481	-9.52177400
-1.23100011	-0.00793481	-9.52177400
-1.21100011	-0.00793481	-9.52177400
-1.19100011	-0.00793481	-7.93481200
-1.17100011	-0.00793481	-6.34785000
-1.15100011	-0.00793481	-6.34785000
-1.13100011	-0.00793481	-4.76088700
-1.11100011	-0.00793481	-4.76088700
-1.09100011	-0.00793481	-6.34785000
-1.07100011	-0.00793481	-6.34785000
-1.05100011	-0.00793481	-4.76088700
-1.03100011	-0.00793481	-4.76088700
-1.01100011	-0.00793481	-4.76088700
-0.99100011	-0.00793481	-6.34785000
-0.97100011	-0.00793481	-6.34785000
-0.95100011	-0.00793481	-6.34785000
-0.93100011	-0.00793481	-4.76088700
-0.91100011	-0.00793481	-4.76088700
-0.89100011	-0.00793481	-4.76088700
-0.87100011	-0.00793481	-4.76088700
-0.85100011	-0.00793481	-4.76088700
-0.83100011	-0.00793481	-4.76088700
-0.81100011	-0.00793481	-6.34785000
-0.79100011	-0.00793481	-4.76088700
-0.77100011	-0.00793481	-3.17392500
-0.75100011	-0.00793481	-3.17392500
-0.73100011	-0.00793481	-3.17392500
-0.71100011	-0.00793481	-3.17392500
-0.69100011	-0.00793481	-4.76088700
-0.67100011	-0.00793481	-4.76088700
-0.65100011	-0.00793481	-3.17392500
-0.63100011	-0.00793481	-3.17392500
