Time	Channel A	Channel B
(us)	(V)	(mV)

-4.98959980	-0.00793481	-4.76088700
-4.94959980	-0.00793481	-6.34785000
-4.90959980	-0.00793481	-7.93481200
-4.86959980	-0.00793481	-6.34785000
-4.82959980	-0.00793481	-4.76088700
-4.78959980	-0.00793481	-4.76088700
-4.74959980	-0.00793481	-4.76088700
-4.70959980	-0.00793481	-4.76088700
-4.66959980	-0.00793481	-4.76088700
-4.62959980	-0.00793481	-6.34785000
-4.58959980	-0.00793481	-4.76088700
-4.54959980	-0.00793481	-3.17392500
-4.50959980	-0.00793481	-4.76088700
-4.46959980	-0.00793481	-4.76088700
-4.42959981	-0.00793481	-4.76088700
-4.38959981	-0.00793481	-6.34785000
-4.34959981	-0.00793481	-7.93481200
-4.30959981	-0.00793481	-7.93481200
-4.26959981	-0.00793481	-4.76088700
-4.22959981	-0.00793481	-6.34785000
-4.18959981	-0.00793481	-4.76088700
-4.14959981	-0.00793481	-6.34785000
-4.10959981	-0.00793481	-6.34785000
-4.06959981	-0.00793481	-4.76088700
-4.02959981	-0.00793481	-4.76088700
-3.98959981	-0.00793481	-4.76088700
-3.94959981	-0.00793481	-4.76088700
-3.90959981	-0.00793481	-4.76088700
-3.86959981	-0.00793481	-4.76088700
-3.82959981	-0.00793481	-4.76088700
-3.78959981	-0.00793481	-6.34785000
-3.74959981	-0.00793481	-4.76088700
-3.70959981	-0.00793481	-6.34785000
-3.66959981	-0.00793481	-4.76088700
-3.62959981	-0.00793481	-6.34785000
-3.58959981	-0.00793481	-6.34785000
-3.54959981	-0.00793481	-4.76088700
-3.50959981	-0.00793481	-3.17392500
-3.46959981	-0.00793481	-6.34785000
-3.42959981	-0.00793481	-7.93481200
-3.38959981	-0.00793481	-6.34785000
-3.34959981	-0.00793481	-4.76088700
-3.30959981	-0.00793481	-6.34785000
-3.26959981	-0.00793481	-4.76088700
-3.22959981	-0.00793481	-4.76088700
-3.18959981	-0.00793481	-4.76088700
-3.14959981	-0.00793481	-7.93481200
-3.10959981	-0.00793481	-3.17392500
-3.06959981	-0.00793481	-4.76088700
-3.02959981	-0.00793481	-4.76088700
-2.98959981	-0.00793481	-4.76088700
-2.94959981	-0.00793481	-4.76088700
-2.90959981	-0.00793481	-6.34785000
-2.86959981	-0.00793481	-6.34785000
-2.82959981	-0.00793481	-6.34785000
-2.78959982	-0.00793481	-6.34785000
-2.74959982	-0.00793481	-6.34785000
-2.70959982	-0.00793481	-6.34785000
-2.66959982	-0.00793481	-6.34785000
-2.62959982	-0.00793481	-6.34785000
-2.58959982	-0.00793481	-6.34785000
-2.54959982	-0.00793481	-6.34785000
-2.50959982	-0.00793481	-7.93481200
-2.46959982	-0.00793481	-6.34785000
-2.42959982	-0.00793481	-6.34785000
-2.38959982	-0.00793481	-7.93481200
-2.34959982	-0.00793481	-7.93481200
-2.30959982	-0.00793481	-6.34785000
-2.26959982	-0.00793481	-4.76088700
-2.22959982	-0.00793481	-6.34785000
