Time	Channel A	Channel B
(us)	(V)	(mV)

-4.97999918	-0.00793481	-4.76088700
-4.93999918	-0.00793481	-4.76088700
-4.89999918	-0.00793481	-3.17392500
-4.85999918	-0.00793481	-4.76088700
-4.81999918	-0.00793481	-4.76088700
-4.77999918	-0.00793481	-4.76088700
-4.73999918	-0.00793481	-4.76088700
-4.69999918	-0.00793481	-6.34785000
-4.65999918	-0.00793481	-3.17392500
-4.61999918	-0.00793481	-4.76088700
-4.57999918	-0.00793481	-6.34785000
-4.53999918	-0.00793481	-6.34785000
-4.49999918	-0.00793481	-4.76088700
-4.45999918	-0.00793481	-6.34785000
-4.41999918	-0.00793481	-7.93481200
-4.37999918	-0.00793481	-4.76088700
-4.33999918	-0.00793481	-6.34785000
-4.29999918	-0.00793481	-4.76088700
-4.25999918	-0.00793481	-6.34785000
-4.21999918	-0.00793481	-6.34785000
-4.17999918	-0.00793481	-7.93481200
-4.13999918	-0.00793481	-6.34785000
-4.09999918	-0.00793481	-6.34785000
-4.05999918	-0.00793481	-4.76088700
-4.01999918	-0.00793481	-6.34785000
-3.97999918	-0.00793481	-4.76088700
-3.93999918	-0.00793481	-4.76088700
-3.89999918	-0.00793481	-4.76088700
-3.85999918	-0.00793481	-6.34785000
-3.81999918	-0.00793481	-6.34785000
-3.77999918	-0.00793481	-4.76088700
-3.73999918	-0.00793481	-3.17392500
-3.69999918	-0.00793481	-3.17392500
-3.65999918	-0.00793481	-4.76088700
-3.61999918	-0.00793481	-4.76088700
-3.57999918	-0.00793481	-4.76088700
-3.53999918	-0.00793481	-4.76088700
-3.49999918	-0.00793481	-4.76088700
-3.45999918	-0.00793481	-6.34785000
-3.41999919	-0.00793481	-4.76088700
-3.37999919	-0.00793481	-4.76088700
-3.33999919	-0.00793481	-6.34785000
-3.29999919	-0.00793481	-6.34785000
-3.25999919	-0.00793481	-6.34785000
-3.21999919	-0.00793481	-7.93481200
-3.17999919	-0.00793481	-4.76088700
-3.13999919	-0.00793481	-4.76088700
-3.09999919	-0.00793481	-4.76088700
-3.05999919	-0.00793481	-4.76088700
-3.01999919	-0.00793481	-4.76088700
-2.97999919	-0.00793481	-4.76088700
-2.93999919	-0.00793481	-3.17392500
-2.89999919	-0.00793481	-4.76088700
-2.85999919	-0.00793481	-4.76088700
-2.81999919	-0.00793481	-4.76088700
-2.77999919	-0.00793481	-3.17392500
-2.73999919	-0.00793481	-4.76088700
-2.69999919	-0.00793481	-4.76088700
-2.65999919	-0.00793481	-3.17392500
-2.61999919	-0.00793481	-4.76088700
-2.57999919	-0.00793481	-4.76088700
-2.53999919	-0.00793481	-4.76088700
-2.49999919	-0.00793481	-4.76088700
-2.45999919	-0.00793481	-7.93481200
-2.41999919	-0.00793481	-4.76088700
-2.37999919	-0.00793481	-4.76088700
-2.33999919	-0.00793481	-6.34785000
-2.29999919	-0.00793481	-4.76088700
-2.25999919	-0.00793481	-4.76088700
-2.21999919	-0.00793481	-6.34785000
