Time	Channel A	Channel B
(us)	(V)	(mV)

-4.98342797	0.00000000	-1.58696200
-4.94342797	0.00000000	0.00000000
-4.90342797	0.00000000	0.00000000
-4.86342797	0.00000000	0.00000000
-4.82342797	0.00000000	0.00000000
-4.78342797	0.00000000	0.00000000
-4.74342797	0.00000000	1.58696200
-4.70342797	0.00000000	-1.58696200
-4.66342797	0.00000000	0.00000000
-4.62342797	0.00000000	0.00000000
-4.58342797	0.00000000	1.58696200
-4.54342797	0.00000000	-1.58696200
-4.50342797	-0.00793481	-3.17392500
-4.46342797	0.00000000	-1.58696200
-4.42342797	0.00000000	-1.58696200
-4.38342797	0.00000000	0.00000000
-4.34342797	0.00000000	-3.17392500
-4.30342797	0.00000000	-1.58696200
-4.26342798	0.00000000	0.00000000
-4.22342798	0.00000000	0.00000000
-4.18342798	0.00000000	-3.17392500
-4.14342798	0.00000000	0.00000000
-4.10342798	0.00000000	-1.58696200
-4.06342798	0.00000000	-1.58696200
-4.02342798	0.00000000	0.00000000
-3.98342798	0.00000000	-1.58696200
-3.94342798	0.00000000	-3.17392500
-3.90342798	-0.00793481	-1.58696200
-3.86342798	0.00000000	0.00000000
-3.82342798	0.00000000	0.00000000
-3.78342798	-0.00793481	1.58696200
-3.74342798	0.00000000	1.58696200
-3.70342798	0.00000000	0.00000000
-3.66342798	-0.00793481	0.00000000
-3.62342798	-0.00793481	-1.58696200
-3.58342798	0.00000000	0.00000000
-3.54342798	0.00000000	0.00000000
-3.50342798	0.00000000	3.17392500
-3.46342798	0.00000000	-1.58696200
-3.42342798	0.00000000	-3.17392500
-3.38342798	0.00000000	-1.58696200
-3.34342798	0.00000000	-1.58696200
-3.30342798	0.00000000	-1.58696200
-3.26342798	0.00000000	-1.58696200
-3.22342798	-0.00793481	-1.58696200
-3.18342798	-0.00793481	-3.17392500
-3.14342798	0.00000000	-1.58696200
-3.10342798	0.00000000	0.00000000
-3.06342798	-0.00793481	-1.58696200
-3.02342798	-0.00793481	0.00000000
-2.98342798	0.00000000	0.00000000
-2.94342798	-0.00793481	1.58696200
-2.90342798	0.00000000	0.00000000
-2.86342798	0.00000000	0.00000000
-2.82342798	0.00000000	0.00000000
-2.78342798	0.00000000	1.58696200
-2.74342798	-0.00793481	-1.58696200
-2.70342798	-0.00793481	1.58696200
-2.66342798	0.00000000	3.17392500
-2.62342799	-0.00793481	1.58696200
-2.58342799	-0.00793481	0.00000000
-2.54342799	-0.00793481	-1.58696200
-2.50342799	-0.00793481	-1.58696200
-2.46342799	-0.00793481	0.00000000
-2.42342799	-0.00793481	-1.58696200
-2.38342799	0.00000000	-1.58696200
-2.34342799	-0.00793481	0.00000000
-2.30342799	-0.00793481	-1.58696200
-2.26342799	-0.00793481	-1.58696200
-2.22342799	-0.00793481	-1.58696200
-2.18342799	-0.00793481	-1.58696200
-2.14342799	-0.00793481	0.00000000
-2.10342799	-0.00793481	0.00000000
-2.06342799	-0.00793481	0.00000000
-2.02342799	-0.00793481	-1.58696200
